year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,filter_democrat,words
1976,4961,2,202,2,202,We fully recognize the religious and ethical nature of the concerns which many Americans have on the subject of abortion.,1,20
1980,5920,2,202,2,202,Reproductive RightsíïWe fully recognize the religious and ethical concerns which many Americans have about abortion.,1,15
1980,5921,2,202,2,202,We also recognize the belief of many Americans that a woman has a right to choose whether and when to have a child.,1,23
1980,5922,2,202,2,202,The Democratic Party supports the 1973 Supreme Court decision on abortion rights as the law of the land and opposes any constitutional amendment to restrict or overturn that decision.,1,29
1992,9334,2,202,2,202,"provide for the full range of reproductive choiceíïeducation, counseling, access to contraceptives, and the right to a safe, legal abortion;",1,20
1992,9404,2,202,2,202,"Democrats stand behind the right of every woman to choose, consistent with Roe v. Wade, regardless of ability to pay, and support a national law to protect that right.",1,29
1992,9406,2,202,2,202,"The goal of our nation must be to make abortion less necessary, not more difficult or more dangerous.",1,18
1996,10069,2,202,2,202,"The Democratic Party stands behind the right of every woman to choose, consistent with Roe v. Wade, and regardless of ability to pay.í_",1,23
1996,10075,2,202,2,202,"Our goal is to make abortion less necessary and more rare, not more difficult and more dangerous.í_",1,17
1996,10078,2,202,2,202,The abortion rate is dropping.í_,1,5
2000,10818,2,202,2,202,Al Gore has called for an Electronic Bill of Rights for this electronic age - including the right to choose whether personal information is disclosed;,1,25
2000,11180,2,202,2,202,"The Democratic Party stands behind the right of every woman to choose, consistent with Roe v. Wade, and regardless of ability to pay.",1,23
2000,11182,2,202,2,202,This year's Supreme Court rulings show to us all that eliminating a woman's right to choose is only one justice away.,1,21
2000,11184,2,202,2,202,"Our goal is to make abortion less necessary and more rare, not more difficult and more dangerous.",1,17
2000,11190,2,202,2,202,"This is why we are proud to put into our platform the very words which Republicans refused to let Bob Dole put into their 1996 platform and which they refused to even consider putting in their platform in 2000: ""While the party remains steadfast in its commitment to advancing its historic principles and ideals, we also recognize that members of our party have deeply held and sometimes differing views on issues of personal conscience like abortion and capital punishment.",1,79
2004,12437,2,202,2,202,"Because we believe in the privacy and equality of women, we stand proudly for a woman's right to choose, consistent with Roe v. Wade, and regardless of her ability to pay.",1,31
2004,12440,2,202,2,202,"Abortion should be safe, legal, and rare.",1,7
2008,13471,2,202,2,202,"Choice: The Democratic Party strongly and unequivocally supports Roe v. Wade and a woman's right to choose a safe and legal abortion, regardless of ability to pay, and we oppose any and all efforts to weaken or undermine that right.",1,40
2012,14265,2,202,2,202,Protecting A Woman's Right to Choose. ,1,6
2012,14266,2,202,2,202,"The Democratic Party strongly and unequivocally supports Roe v. Wade and a woman's right to make decisions regarding her pregnancy, including a safe and legal abortion, regardless of ability to pay. ",1,31
2012,14268,2,202,2,202,"Abortion is an intensely personal decision between a woman, her family, her doctor, and her clergy;",1,16
2012,14270,2,202,2,202,We also recognize that health care and education help reduce the number of unintended pregnancies and thereby also reduce the need for abortions.,1,23
2012,14738,2,202,2,202,"That's why, in his first month in office, President Obama overturned the Òglobal gag rule,Ó a ban on federal funds to foreign family planning organizations that provided information about, counseling on, or offered abortions.",1,34
2016,15602,2,202,2,202," We will continue to oppose-and seek to overturn-federal and state laws and policies that impede a woman's access to abortion, including by repealing the Hyde Amendment.",1,26
1996,10316,12,1302,12,1302,"President Clinton fought for and secured tax credits to encourage adoption, and stood firm against Republican attempts to undermine adoption assistance.",1,21
2008,13458,12,1302,12,1302,We will reward those who are responsibly supporting their children by giving them a tax credit and we will crack down on men who avoid child support payments and ensure those payments go directly to families instead of bureaucracies.,1,39
2016,15238,12,1302,12,1302," The Child Tax Credit (CTC) should be expanded, for example, by making more of it refundable, or indexed to inflation to stem the erosion of the credit.",1,27
