year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,words
1976,3740,2,202,2,202,a position on abortion that values human life;,8
1976,3823,2,202,2,202,The question of abortion is one of the most difficult and controversial of our time.,15
1976,3825,2,202,2,202,There are those in our Party who favor complete support for the Supreme Court decision which permits abortion on demand.,20
1976,3826,2,202,2,202,There are others who share sincere convictions that the Supreme Court's decision must be changed by a constitutional amendment prohibiting all abortions.,22
1976,3829,2,202,2,202,The Republican Party favors a continuance of the public dialogue on abortion and supports the efforts of those who seek enactment of a constitutional amendment to restore protection of the right to life for unborn children.,36
1980,4705,2,202,2,202,"There can be no doubt that the question of abortion, despite the complex nature of its various issues, is ultimately concerned with equality of rights under the law.",28
1980,4707,2,202,2,202,We also support the Congressional efforts to restrict the use of taxpayers' dollars for abortion.,15
1984,6967,2,202,2,202,We oppose the use of public revenues for abortion and will eliminate funding for organizations which advocate or support abortion.,20
1984,6968,2,202,2,202,"We commend the efforts of those individuals and religious and private organizations that are providing positive alternatives to abortion by meeting the physical, emotional, and financial needs of pregnant women and offering adoption services where needed.",36
1988,8022,2,202,2,202,We oppose the use of public revenues for abortion and will eliminate funding for organizations which advocate or support abortion.,20
1988,8023,2,202,2,202,"We commend the efforts of those individuals and religious and private organizations that are providing positive alternatives to abortion by meeting the physical, emotional, and financial needs of pregnant women and offering adoption services where needed.",36
1992,9842,2,202,2,202,We oppose using public revenues for abortion and will not fund organizations which advocate it.,15
1992,9843,2,202,2,202,We commend those who provide alternatives to abortion by meeting the needs of mothers and offering adoption services.,18
1992,10152,2,202,2,202,"Because we uphold the family as the building block of economic progress, we protect its rights in international programs and will continue to withhold funds from organizations involved in abortion.",30
1996,11432,2,202,2,202,Our purpose is to have legislative and judicial protection of that right against those who perform abortions.í_í_,17
1996,11433,2,202,2,202,We oppose using public revenues for abortion and will not fund organizations which advocate it.í_,15
1996,11436,2,202,2,202,"We oppose abortion, but our pro-life agenda does not include punitive action against women who have an abortion.í_",18
1996,11437,2,202,2,202,We salute those who provide alternatives to abortion and offer adoption services.í_,12
1996,11440,2,202,2,202,"Worse than that, he vetoed the ban on partial-birth abortions, a procedure denounced by a committee of the American Medical Association and rightly branded as four-fifths infanticide.í_",27
1996,11441,2,202,2,202,We applaud Bob Dole's commitment to revoke the Clinton executive orders concerning abortion and to sign into law an end to partial-birth abortions.í_,23
2000,12730,2,202,2,202,"The Supreme Courtí´s recent decision, prohibiting states from banning partial-birth abortions íï a procedure denounced by a committee of the American Medical Association and rightly branded as four-fifths infanticide íï shocks the conscience of the nation.",36
2000,12734,2,202,2,202,Our purpose is to have legislative and judicial protection of that right against those who perform abortions.,17
2000,12735,2,202,2,202,We oppose using public revenues for abortion and will not fund organizations which advocate it.,15
2000,12738,2,202,2,202,"We oppose abortion, but our pro-life agenda does not include punitive action against women who have an abortion.",18
