geoName,economy,abortion,immigration,climate change,health care
Alabama,19,47,11,2,21
Alaska,11,40,20,8,21
Arizona,18,32,18,4,28
Arkansas,19,45,13,3,20
California,23,26,22,6,23
Colorado,19,31,19,5,26
Connecticut,19,27,20,7,27
Delaware,19,28,15,6,32
District of Columbia,16,24,24,9,27
Florida,18,32,20,3,27
Georgia,23,39,16,2,20
Hawaii,27,25,21,7,20
Idaho,18,36,17,5,24
Illinois,20,31,19,4,26
Indiana,23,38,13,3,23
Iowa,20,31,16,7,26
Kansas,18,38,19,3,22
Kentucky,16,45,12,4,23
Louisiana,17,44,13,3,23
Maine,16,29,15,10,30
Maryland,15,32,22,6,25
Massachusetts,19,24,22,7,28
Michigan,19,35,15,4,27
Minnesota,17,29,19,6,29
Mississippi,19,47,9,3,22
Missouri,16,41,13,3,27
Montana,17,41,12,7,23
Nebraska,18,40,16,4,22
Nevada,19,32,22,6,21
New Hampshire,19,31,16,8,26
New Jersey,19,32,22,6,21
New Mexico,17,37,16,5,25
New York,17,32,22,5,24
North Carolina,18,37,15,3,27
North Dakota,28,39,11,2,20
Ohio,17,39,12,3,29
Oklahoma,19,42,13,2,24
Oregon,18,30,19,8,25
Pennsylvania,18,38,16,4,24
Rhode Island,17,29,21,6,27
South Carolina,18,44,14,3,21
South Dakota,23,36,13,6,22
Tennessee,17,46,13,3,21
Texas,21,35,20,3,21
Utah,17,43,14,5,21
Vermont,22,25,15,18,20
Virginia,18,37,19,5,21
Washington,18,31,21,6,24
West Virginia,14,47,10,3,26
Wisconsin,15,26,13,6,40
Wyoming,21,36,14,6,23
