geoName,economy,abortion,immigration,Race,health care
Alabama,9,10,7,58,16
Alaska,7,9,6,67,11
Arizona,10,8,17,46,19
Arkansas,7,12,7,58,16
California,13,7,19,46,15
Colorado,9,6,14,54,17
Connecticut,9,7,14,51,19
Delaware,9,12,13,51,15
District of Columbia,12,8,30,28,22
Florida,10,9,17,46,18
Georgia,9,10,11,59,11
Hawaii,12,6,8,58,16
Idaho,11,5,8,59,17
Illinois,9,8,14,52,17
Indiana,10,8,9,57,16
Iowa,7,6,9,61,17
Kansas,8,8,12,54,18
Kentucky,7,8,8,61,16
Louisiana,7,12,9,55,17
Maine,9,5,8,61,17
Maryland,9,9,17,46,19
Massachusetts,10,7,15,50,18
Michigan,8,9,10,56,17
Minnesota,7,8,12,52,21
Mississippi,9,12,6,53,20
Missouri,8,11,8,52,21
Montana,10,9,7,60,14
Nebraska,10,7,11,55,17
Nevada,11,10,16,48,15
New Hampshire,8,4,9,64,15
New Jersey,11,8,19,45,17
New Mexico,8,8,14,53,17
New York,10,8,19,47,16
North Carolina,7,8,9,58,18
North Dakota,25,9,4,52,10
Ohio,8,8,8,56,20
Oklahoma,11,10,10,50,19
Oregon,12,7,13,52,16
Pennsylvania,8,9,11,55,17
Rhode Island,8,8,17,52,15
South Carolina,8,8,8,60,16
South Dakota,11,8,9,54,18
Tennessee,9,8,9,59,15
Texas,10,10,18,46,16
Utah,10,6,13,57,14
Vermont,10,4,10,61,15
Virginia,11,9,14,50,16
Washington,11,6,15,54,14
West Virginia,5,10,5,64,16
Wisconsin,7,6,7,53,27
Wyoming,9,8,12,60,11
