geoName,economy,abortion,immigration,climate change,health care
Alabama,22,26,23,7,22
Alaska,26,20,19,11,24
Arizona,18,16,29,7,30
Arkansas,22,25,23,8,22
California,21,16,37,8,18
Colorado,19,17,27,13,24
Connecticut,20,17,28,10,25
Delaware,23,23,22,8,24
District of Columbia,17,16,33,10,24
Florida,20,20,29,6,25
Georgia,24,22,26,6,22
Hawaii,24,19,25,11,21
Idaho,23,13,27,9,28
Illinois,17,19,30,7,27
Indiana,23,24,23,6,24
Iowa,18,22,26,9,25
Kansas,21,24,28,6,21
Kentucky,20,27,20,8,25
Louisiana,21,27,26,7,19
Maine,18,17,18,17,30
Maryland,18,18,30,9,25
Massachusetts,19,13,34,11,23
Michigan,18,23,22,9,28
Minnesota,19,15,25,7,34
Mississippi,24,25,20,3,28
Missouri,17,22,23,7,31
Montana,20,12,28,8,32
Nebraska,23,18,23,6,30
Nevada,18,20,32,5,25
New Hampshire,16,17,29,7,31
New Jersey,21,16,33,9,21
New Mexico,17,21,26,12,24
New York,18,17,35,8,22
North Carolina,19,20,24,9,28
North Dakota,43,16,19,4,18
Ohio,19,22,24,7,28
Oklahoma,25,20,23,7,25
Oregon,16,15,33,12,24
Pennsylvania,19,21,23,8,29
Rhode Island,19,15,32,10,24
South Carolina,22,22,24,6,26
South Dakota,17,21,21,8,33
Tennessee,20,24,21,6,29
Texas,22,20,31,5,22
Utah,24,19,26,6,25
Vermont,17,14,27,15,27
Virginia,21,19,30,8,22
Washington,18,14,33,10,25
West Virginia,20,31,17,7,25
Wisconsin,16,15,19,8,42
Wyoming,24,20,27,9,20
