geoName,economy,abortion,immigration,Race,health care
Alabama,10,8,6,62,14
Alaska,16,10,6,55,13
Arizona,11,8,11,53,17
Arkansas,13,12,8,53,14
California,15,8,13,52,12
Colorado,11,7,9,59,14
Connecticut,12,7,10,56,15
Delaware,8,8,8,65,11
District of Columbia,11,11,14,51,13
Florida,13,9,11,50,17
Georgia,12,11,8,57,12
Hawaii,15,7,9,56,13
Idaho,10,7,8,59,16
Illinois,10,9,10,56,15
Indiana,10,8,5,65,12
Iowa,15,7,6,59,13
Kansas,13,9,9,54,15
Kentucky,8,7,4,70,11
Louisiana,10,13,5,55,17
Maine,12,8,9,54,17
Maryland,12,8,10,55,15
Massachusetts,12,6,11,55,16
Michigan,12,10,6,55,17
Minnesota,12,8,8,52,20
Mississippi,9,11,7,56,17
Missouri,9,10,6,58,17
Montana,7,7,6,63,17
Nebraska,11,10,10,52,17
Nevada,12,9,11,54,14
New Hampshire,13,6,7,59,15
New Jersey,13,8,15,51,13
New Mexico,12,8,9,53,18
New York,12,9,15,49,15
North Carolina,12,7,6,61,14
North Dakota,23,7,9,51,10
Ohio,10,8,6,59,17
Oklahoma,11,13,7,55,14
Oregon,13,7,10,51,19
Pennsylvania,11,8,7,59,15
Rhode Island,12,7,8,61,12
South Carolina,10,8,6,63,13
South Dakota,14,10,5,59,12
Tennessee,10,10,6,60,14
Texas,14,10,12,50,14
Utah,11,6,8,60,15
Vermont,16,8,4,62,10
Virginia,13,8,10,54,15
Washington,12,7,10,56,15
West Virginia,8,8,4,63,17
Wisconsin,11,6,8,51,24
Wyoming,15,11,6,52,16
