geoName,economy,abortion,immigration,Race,health care
Alabama,14,11,9,51,15
Alaska,18,8,8,54,12
Arizona,14,8,11,49,18
Arkansas,17,9,7,53,14
California,14,7,14,52,13
Colorado,13,6,11,54,16
Connecticut,13,6,10,54,17
Delaware,10,7,7,59,17
District of Columbia,11,8,15,49,17
Florida,15,8,13,46,18
Georgia,16,10,10,51,13
Hawaii,13,7,12,55,13
Idaho,13,6,11,51,19
Illinois,12,8,11,53,16
Indiana,15,7,9,56,13
Iowa,16,8,11,48,17
Kansas,15,7,11,51,16
Kentucky,13,9,7,56,15
Louisiana,12,10,8,56,14
Maine,12,6,10,53,19
Maryland,13,8,12,49,18
Massachusetts,12,6,13,51,18
Michigan,13,9,9,50,19
Minnesota,13,7,10,49,21
Mississippi,13,11,8,52,16
Missouri,12,8,8,54,18
Montana,12,6,9,56,17
Nebraska,15,7,10,51,17
Nevada,11,7,12,58,12
New Hampshire,8,7,7,65,13
New Jersey,14,8,13,50,15
New Mexico,12,9,14,48,17
New York,12,8,15,48,17
North Carolina,12,7,8,56,17
North Dakota,27,7,7,43,16
Ohio,13,8,8,54,17
Oklahoma,12,9,11,53,15
Oregon,12,6,13,50,19
Pennsylvania,12,8,8,57,15
Rhode Island,13,4,11,57,15
South Carolina,13,8,8,57,14
South Dakota,16,6,7,53,18
Tennessee,13,8,7,56,16
Texas,16,9,14,45,16
Utah,12,6,11,53,18
Vermont,11,3,5,67,14
Virginia,14,9,12,50,15
Washington,9,7,11,56,17
West Virginia,7,8,7,59,19
Wisconsin,13,7,7,52,21
Wyoming,15,9,9,52,15
