Category: All categories

Region,economy: (11/19/18 - 11/19/19),abortion: (11/19/18 - 11/19/19),immigration: (11/19/18 - 11/19/19),climate change: (11/19/18 - 11/19/19),health care: (11/19/18 - 11/19/19)
District of Columbia,18%,15%,29%,13%,25%
Wisconsin,18%,17%,12%,8%,45%
North Dakota,39%,21%,13%,6%,21%
Maine,18%,19%,14%,15%,34%
Minnesota,20%,20%,16%,10%,34%
Massachusetts,19%,18%,21%,11%,31%
Maryland,19%,22%,20%,9%,30%
North Carolina,21%,23%,16%,8%,32%
Connecticut,21%,19%,20%,10%,30%
Missouri,19%,28%,13%,7%,33%
Ohio,19%,27%,13%,7%,34%
New York,20%,20%,23%,9%,28%
Florida,20%,22%,22%,6%,30%
Iowa,22%,20%,16%,12%,30%
Delaware,22%,23%,16%,9%,30%
Arizona,21%,21%,19%,8%,31%
Vermont,21%,21%,13%,19%,26%
Michigan,21%,25%,14%,8%,32%
West Virginia,20%,28%,9%,7%,36%
New Hampshire,20%,21%,16%,12%,31%
Rhode Island,19%,23%,20%,11%,27%
Alabama,23%,33%,13%,6%,25%
Illinois,21%,23%,20%,8%,28%
Idaho,22%,22%,15%,10%,31%
Kansas,21%,24%,17%,9%,29%
South Dakota,23%,23%,15%,8%,31%
Georgia,26%,28%,18%,6%,22%
Colorado,22%,20%,18%,12%,28%
Pennsylvania,21%,25%,16%,9%,29%
Kentucky,21%,27%,14%,8%,30%
New Mexico,20%,23%,18%,10%,29%
Montana,20%,25%,11%,12%,32%
Nebraska,20%,24%,18%,9%,29%
Hawaii,27%,19%,19%,13%,22%
Indiana,25%,25%,14%,8%,28%
Oregon,21%,21%,16%,15%,27%
California,25%,19%,24%,10%,22%
Mississippi,22%,32%,12%,5%,29%
Oklahoma,23%,26%,15%,6%,30%
South Carolina,24%,26%,15%,6%,29%
Virginia,24%,23%,20%,9%,24%
Louisiana,22%,29%,15%,6%,28%
New Jersey,22%,22%,24%,8%,24%
Washington,21%,21%,21%,12%,25%
Utah,22%,23%,18%,10%,27%
Tennessee,22%,28%,15%,6%,29%
Arkansas,23%,29%,15%,7%,26%
Texas,24%,23%,23%,6%,24%
Alaska,22%,25%,15%,16%,22%
Nevada,22%,22%,23%,8%,25%
Wyoming,24%,24%,16%,10%,26%
