,state,wins_y
0,Alabama,1000
1,Alaska,1000
2,Arizona,834
3,Arkansas,1000
4,California,0
5,Colorado,7
6,Connecticut,0
7,Delaware,0
8,District of Columbia,0
9,Florida,627
10,Georgia,308
11,Hawaii,0
12,Idaho,1000
13,Illinois,0
14,Indiana,1000
15,Iowa,988
16,Kansas,1000
17,Kentucky,1000
18,Louisiana,1000
19,Maine,0
20,Maryland,0
21,Massachusetts,0
22,Michigan,265
23,Minnesota,0
24,Mississippi,1000
25,Missouri,1000
26,Montana,1000
27,Nebraska,1000
28,Nevada,701
29,New Hampshire,173
30,New Jersey,0
31,New Mexico,0
32,New York,0
33,North Carolina,604
34,North Dakota,1000
35,Ohio,647
36,Oklahoma,1000
37,Oregon,0
38,Pennsylvania,471
39,Rhode Island,0
40,South Carolina,1000
41,South Dakota,1000
42,Tennessee,1000
43,Texas,1000
44,Utah,1000
45,Vermont,0
46,Virginia,0
47,Washington,0
48,West Virginia,1000
49,Wisconsin,307
50,Wyoming,1000
